12560 154.4045449 -46.4153657  167.0145182    0.082539  0.61 0.01  72.3   1.6  0.81 0.05 4.53 0.2  BH1                 
 4513 154.4066197 -46.4259677  172.4743805    1.0772453 0.07 0.11  11.36  1.55 0.81 0.05 0.32 0.06                     
22751 154.4060213 -46.4002393  172.5792084    0.5734078 0.03 0.04  10.54  0.69 0.83 0.05 0.3  0.03                     
12658 154.4035953 -46.4220713  175.9542274    0.356122  0.07 0.05  13.38  0.61 0.83 0.05 0.4  0.03                     
14355 154.3910685 -46.4196148  191.6578369    2.4829507 0.06 0.15  11.1   1.4  1.2  0.05 0.41 0.07 BSS; bimodal        
12438 154.4055986 -46.4128312  197.5532761    1.4339522 0.06 0.09   8.18  1.46 0.82 0.05 0.23 0.05                     
23276 154.4016366 -46.4092061  204.2375991    0.9508313 0.89 0.05  21.22 10.59 0.82 0.05 0.3  0.11                     
23452 154.4001828 -46.4032589  206.4818649    1.4721474 0.06 0.08   7.17  0.81 0.82 0.05 0.2  0.03                     
12975 154.4013363 -46.4204618  224.6530762    3.4249563 0.07 0.1   11.53  1.48 0.77 0.05 0.36 0.06                     
13391 154.397901  -46.4202885  225.5278625    5.316978  0.24 0.24   9.8   2.18 0.76 0.05 0.28 0.07                     
23381 154.4005113 -46.4072516  262.0552673    1.4494496 0.11 0.15  12.12  1.64 0.82 0.05 0.42 0.07                     
23889 154.3963587 -46.4005888  282.9812164    4.9652981 0.33 0.14  13.15  1.95 0.81 0.05 0.43 0.08                     
11945 154.4094838 -46.4119426  284.4535675    7.1025029 0.18 0.2    9.83  2.66 1.2  0.05 0.4  0.14 BSS                 
14055 154.3935002 -46.4119125  286.4259338    4.272967  0.17 0.18   8.98  1.55 0.82 0.05 0.29 0.06                     
13816 154.3952113 -46.415995   302.1612701    4.8804618 0.17 0.19   3.92  0.93 0.83 0.05 0.11 0.03                     
23848 154.3964495 -46.4094594  323.4626167    1.4438836 0.48 0.07  15.61  1.43 1.2  0.05 0.67 0.1  BSS                 
12173 154.4078519 -46.4166175  340.4711914    5.512878  0.47 0.23  19.95  7.87 0.81 0.05 0.79 0.3  bimodal             
13069 154.4006896 -46.41497    375.0470428    2.8566031 0.14 0.18   9.33  2.62 0.82 0.05 0.35 0.14                     
12932 154.401685  -46.4137049  386.9793549    8.8621685 0.48 0.2    6.55  1.87 0.81 0.05 0.19 0.07                     
11831 154.4101404 -46.4225827  493.4385529   10.7686466 0.07 0.13   6.43  0.85 0.83 0.05 0.25 0.04                     
24135 154.3938235 -46.4107714  509.9134558   19.9308031 0.51 0.3    8.2   6.69 0.79 0.05 0.28 0.18                     
13587 154.3963697 -46.4242217  537.2937012   20.2119788 0.13 0.15  10.59  1.73 1.2  0.05 0.59 0.14 BSS                 
11317 154.4144723 -46.4135751  602.8700256   11.6654961 0.25 0.13   9.36  1.32 0.83 0.05 0.42 0.07                     
13874 154.3947606 -46.4200318  608.1834412   26.502588  0.3  0.29  10.13  3.9  0.77 0.05 0.43 0.19                     
11779 154.4106185 -46.4206367  620.0680237   34.3939408 0.13 0.21   8.18  1.65 0.82 0.05 0.36 0.1                      
15293 154.383107  -46.4200627  668.5839844   19.4833779 0.48 0.1   11.31  1.77 0.82 0.05 0.49 0.09                     
 5132 154.4003436 -46.4258493  764.1672363   10.4049687 0.28 0.16  36.34  8.33 0.64 0.05 4.39 2.82 BHC; bimodal        
13782 154.3955194 -46.412516   846.6898804   60.1714775 0.11 0.19   8.24  1.85 0.82 0.05 0.42 0.12                     
25211 154.3848653 -46.407682   988.6095886   74.6005701 0.11 0.16   8.68  1.65 1.2  0.05 0.59 0.13 BSS                 
12828 154.4019241 -46.4234435 1075.3296509   36.2092355 0.05 0.08  13.22  1.38 0.8  0.05 0.9  0.15                     
11131 154.4163601 -46.4162322 1627.0026855  221.3774856 0.31 0.17   8.21  1.54 0.82 0.05 0.53 0.13 bimodal             
23215 154.4026701 -46.3982975 1997.3417969  303.7565549 0.08 0.14  16.34  2.01 0.76 0.05 1.82 0.39 NSC                 
13154 154.3999641 -46.4122515 2773.6993408 1008.4635638 0.16 0.18  10.07  4.07 0.79 0.05 0.94 0.93                     
13808 154.3950464 -46.4192292 3001.8255615 1004.930921  0.11 0.21   3.24  1.38 0.83 0.05 0.21 0.13                     
