m 11216 154.4153913 -46.4242906 14
m 11218 154.4150702 -46.4240083 12
m 11222 154.4151638 -46.4224469 15
m 11226 154.4152727 -46.4221938 13
m 11234 154.4152244 -46.4204095 14
m 11235 154.4152058 -46.420089  13
m 11238 154.4151374 -46.4189798 15
m 11239 154.4153885 -46.418361   8
m 11244 154.4152614 -46.4176008  8
m 11246 154.4153248 -46.4172271 15
m 11252 154.4153698 -46.4154438  9
m 11253 154.4152763 -46.4154187  4
m 11254 154.4151715 -46.4155517 15
m 11257 154.4149842 -46.414719  18
m 11258 154.4153498 -46.4143541 23
m 11263 154.4153644 -46.4139113 22
m 11264 154.4150832 -46.4139623 13
m 11265 154.4150201 -46.4139209  9
m 11269 154.4153003 -46.4131916 12
m 11271 154.4151264 -46.4128353 27
m 11273 154.4152435 -46.4119169 27
m 11276 154.4149714 -46.411362  17
m 11279 154.4148414 -46.4241887  4
m 11280 154.4147323 -46.4238062  3
m 11281 154.4149255 -46.423448  15
m 11282 154.414927  -46.4223879  3
m 11283 154.4148763 -46.4225343  4
m 11284 154.4148716 -46.4220737 15
m 11285 154.4148566 -46.4217729 13
m 11286 154.4147097 -46.4215614 13
m 11288 154.4146286 -46.4213001  5
m 11289 154.4144895 -46.4209943 15
m 11292 154.4148122 -46.4195023 15
m 11294 154.4145162 -46.419278  15
m 11295 154.4145705 -46.4191179 15
m 11298 154.4145091 -46.4183996 14
m 11300 154.4145891 -46.4182382 15
m 11301 154.4149328 -46.4183105 12
m 11305 154.4144692 -46.4174217 15
m 11306 154.4149497 -46.4171843 15
m 11311 154.4146083 -46.4156544 12
m 11312 154.4149199 -46.4155888  3
m 11315 154.4144784 -46.4150236  5
m 11316 154.4147912 -46.4146091 15
m 11317 154.4144723 -46.4135751 27
m 11318 154.4146903 -46.4136373 15
m 11320 154.4145025 -46.4134426 14
m 11323 154.4140851 -46.4247132  8
m 11324 154.4142514 -46.4239875 10
m 11328 154.4144386 -46.4231021 15
m 11330 154.4143747 -46.4232042 15
m 11336 154.4143316 -46.4222814  6
m 11338 154.4140796 -46.4222731  7
m 11342 154.4142752 -46.4204006 15
m 11343 154.4140485 -46.4201118 15
m 11344 154.4139876 -46.419841  15
m 11345 154.4144302 -46.4195749 15
m 11346 154.4143601 -46.4187767 13
m 11348 154.4140881 -46.4187685  6
m 11349 154.4140249 -46.419023   8
m 11354 154.4140817 -46.4176828 14
m 11356 154.4142165 -46.4167586 15
m 11358 154.4141512 -46.416666  15
m 11359 154.4142925 -46.4163699 15
m 11362 154.4141374 -46.4160918 15
m 11364 154.4143204 -46.415677  15
m 11365 154.4139442 -46.4154824 15
m 11366 154.4140819 -46.4149816 15
m 11367 154.4143727 -46.4143783 17
m 11369 154.4142854 -46.413939  26
m 11373 154.4141921 -46.4128997  3
m 11381 154.4139901 -46.41204   19
m 11382 154.4142062 -46.4116093  5
m 11383 154.4139556 -46.411562  23
m 11384 154.4144079 -46.4113097 27
m 11385 154.4140333 -46.4113239 26
m 11389 154.4134752 -46.423663  15
m 11394 154.4137422 -46.4230006  7
m 11398 154.4136539 -46.4224165  7
m 11403 154.4134963 -46.4210619  9
m 11404 154.4138896 -46.4204469 15
m 11405 154.4135736 -46.4199715 14
m 11408 154.4136894 -46.419763   5
m 11411 154.4137591 -46.4193158 10
m 11412 154.4139248 -46.4189248 13
m 11419 154.4138745 -46.4171081 11
m 11420 154.4137601 -46.4164152  6
m 11423 154.4138504 -46.4155942 15
m 11425 154.4136869 -46.4151556 15
m 11426 154.4136711 -46.414809  17
m 11430 154.4135086 -46.4128994 26
m 11436 154.4137275 -46.4115541  9
m 11437 154.4134584 -46.4115966 21
m 11441 154.4131283 -46.4248839 13
m 11448 154.4133967 -46.423034   7
m 11450 154.4133081 -46.4231043  3
m 11455 154.4130611 -46.4221092 15
m 11456 154.4132421 -46.4217784 15
m 11458 154.413231  -46.4214383 15
m 11460 154.4134214 -46.4206768  9
m 11464 154.4129642 -46.4199722  6
m 11465 154.4130693 -46.4196203 15
m 11467 154.4134078 -46.419023  15
m 11469 154.4133843 -46.4183834  8
m 11476 154.412982  -46.4172404  6
m 11479 154.4130497 -46.4162846  5
m 11482 154.4133647 -46.4154464 12
m 11485 154.4130283 -46.4146912 18
m 11487 154.4133514 -46.414514  20
m 11488 154.4131005 -46.4143648 23
m 11489 154.4130126 -46.4138878  5
m 11490 154.4134278 -46.4138005  3
m 11492 154.4133945 -46.4136669 27
m 11493 154.4132361 -46.4134118 17
m 11496 154.4129362 -46.4125967 27
m 11499 154.4133989 -46.4122884 12
m 11501 154.4131271 -46.4121439 22
m 11508 154.4124405 -46.4244721 15
m 11521 154.4127912 -46.4206224  9
m 11522 154.412688  -46.4202331 15
m 11523 154.4124875 -46.4201245 15
m 11527 154.4125373 -46.418942  15
m 11539 154.4127834 -46.4173338  9
m 11541 154.4124824 -46.4161632 15
m 11544 154.4125486 -46.4159541 11
m 11549 154.4127058 -46.415207  15
m 11554 154.4127012 -46.4140579 18
m 11557 154.4128194 -46.4123546  7
m 11559 154.4128356 -46.4118653 27
m 11562 154.4128484 -46.4111929  5
m 11569 154.4123559 -46.4232016  8
m 11570 154.4123572 -46.4229842 11
m 11571 154.4120576 -46.4227442 15
m 11575 154.4119291 -46.4218697  8
m 11576 154.4121251 -46.421809  15
m 11579 154.4123443 -46.4206216 15
m 11580 154.4123611 -46.4197978  3
m 11583 154.412265  -46.419561  15
m 11585 154.4123493 -46.4190862 12
m 11586 154.411993  -46.4194088  9
m 11588 154.4120594 -46.418902  10
m 11589 154.4119838 -46.4188544  4
m 11590 154.4123687 -46.4181487 15
m 11591 154.4121737 -46.4181016  4
m 11599 154.4123825 -46.4172699  6
m 11600 154.4122902 -46.4172902 10
m 11602 154.4121931 -46.4164717 15
